* python3-absl 2.1.0 2.1.0 Up-to-date
    - python3-asyncinotify: upgrade 4.0.9 -> 4.1.0 | 4.1.0 | U | Default | 2024-09-30
    - python3-asyncinotify: upgrade 4.0.6 -> 4.0.9 | 4.0.9 | U | Default | 2024-05-19
    - python3-asyncinotify: upgrade 4.0.5 -> 4.0.6 | 4.0.6 | U | Default | 2024-01-23
    - python3-asyncinotify: upgrade 4.0.4 -> 4.0.5 | 4.0.5 | U | Default | 2023-12-29
    - python3-asyncinotify: update to version 4.0.4 | 4.0.4 | U | Default | 2023-12-14
    - python3-asyncinotify: upgrade 3.0.1 -> 4.0.2 | 4.0.2 | U | Default | 2023-07-17
    - python3-asyncinotify: upgrade 2.0.8 -> 3.0.1 | 3.0.1 | U | Default | 2022-12-05
    - python3-asyncinotify: upgrade 2.0.5 -> 2.0.8 | 2.0.8 | U | Default | 2022-11-28
    - python3-asyncinotify: upgrade 2.0.4 -> 2.0.5 | 2.0.5 | U | Default | 2022-07-02
    - python3-asyncinotify: upgrade 2.0.3 -> 2.0.4 | 2.0.4 | U | Default | 2022-06-30
    - python3-asyncinotify: upgrade 2.0.2 -> 2.0.3 | 2.0.3 | U | Default | 2022-05-29
    - python3-asyncinotify: add 2.0.2 | 2.0.2 | U | Default | 2022-03-09
* python3-attr 0.3.2 0.3.2 Up-to-date
    - python3-attr: upgrade 0.3.1 -> 0.3.2 | 0.3.2 | U | Default | 2022-07-24
    - Initial import at master release start. | 0.3.1 | U | Default | 2021-09-24
* python3-attrdict3 2.0.2 2.0.2 Up-to-date
    - python3-attrdict3: add missing run-time dependencies | 2.0.2 | U | Default | 2023-06-24
* python3-automat 24.8.1 25.4.16 Not updated
    - python3-automat: upgrade 22.10.0 -> 24.8.1 | 24.8.1 | U | Default | 2024-08-24
    - python3-automat: Upgrade 20.2.0 -> 22.10.0 | 22.10.0 | U | Default | 2022-11-02
    - Initial import at master release start. | 20.2.0 | U | Default | 2021-09-24
* python3-betamax 0.9.0+git 0.9.0+git Up-to-date
    - python3-betamax: Use tip of trunk to support python 3.13 | 0.9.0+git | U | Default | 2024-10-29
    - python3-betamax: Upgrade to 0.9.0 | 0.9.0 | U | Default | 2024-02-29
    - Initial import at master release start. | 0.8.1 | U | Default | 2021-09-24
* python3-blivet 3.12.1 3.13.1 Not updated
    - python-blivet: 3.9.2 -> 3.12.1 | 3.12.1 | U | Default | 2025-04-02
    - python3-blivet: upgrade 3.9.1 -> 3.9.2 | 3.9.2 | U | Default | 2024-04-02
    - python3-blivet: upgrade 3.8.2 -> 3.9.1 | 3.9.1 | U | Default | 2024-03-20
    - python3-blivet: 3.4.3 -> 3.8.2 | 3.8.2 | U | Default | 2023-11-02
    - python3-blivet: Upgrade to 3.4.3 | 3.4.3 | U | Default | 2022-03-03
    - Initial import at master release start. | 3.4.0 | U | Default | 2021-09-24
* python3-blivetgui 2.6.0 2.6.0 Up-to-date
    - python3-blivetgui: upgrade 2.5.0 -> 2.6.0 | 2.6.0 | U | Default | 2024-12-03
    - python3-blivetgui: upgrade 2.4.2 -> 2.5.0 | 2.5.0 | U | Default | 2024-03-20
    - python3-blivetgui: 2.3.0 -> 2.4.2 | 2.4.2 | U | Default | 2023-11-02
    - python3-blivetgui: Upgrade to 2.3.0 | 2.3.0 | U | Default | 2022-03-03
    - Initial import at master release start. | 2.2.1 | U | Default | 2021-09-24
* python3-cached-property 2.0.1 1.5.2 Unknown
    - python3-cached-property: Upgrade 1.5.2 -> 2.0.1 | 2.0.1 | U | Default | 2025-01-10
    - Initial import at master release start. | 1.5.2 | U | Default | 2021-09-24
* python3-cachetools 5.5.2 6.2.4 Not updated
    - python3-cachetools: upgrade 5.5.1 -> 5.5.2 | 5.5.2 | U | Default | 2025-02-26
    - python3-cachetools: Upgrade 5.5.0 -> 5.5.1 | 5.5.1 | U | Default | 2025-01-25
    - python3-cachetools: upgrade 5.4.0 -> 5.5.0 | 5.5.0 | U | Default | 2024-08-28
    - python3-cachetools: Upgrade 5.3.3 -> 5.4.0 | 5.4.0 | U | Default | 2024-08-02
    - python3-cachetools: Upgrade 5.3.2 -> 5.3.3 | 5.3.3 | U | Default | 2024-03-27
    - python3-cachetools: upgrade 5.3.1 -> 5.3.2 | 5.3.2 | U | Default | 2023-11-06
    - python3-cachetools: upgrade 5.3.0 -> 5.3.1 | 5.3.1 | U | Default | 2023-05-31
    - python3-cachetools: Upgrade 5.2.1 -> 5.3.0 | 5.3.0 | U | Default | 2023-01-25
    - python3-cachetools: upgrade 5.2.0 -> 5.2.1 | 5.2.1 | U | Default | 2023-01-11
    - python3-cachetools: upgrade 5.1.0 -> 5.2.0 | 5.2.0 | U | Default | 2022-06-02
    - python3-cachetools: upgrade 5.0.0 -> 5.1.0 | 5.1.0 | U | Default | 2022-05-29
    - python3-cachetools: upgrade 4.2.4 -> 5.0.0 | 5.0.0 | U | Default | 2022-03-28
    - python3-cachetools: upgrade 4.2.2 -> 4.2.4 | 4.2.4 | U | Default | 2021-10-25
    - Initial import at master release start. | 4.2.2 | U | Default | 2021-09-24
* python3-cairocffi 1.7.1 1.7.1 Up-to-date
    - python3-cairocffi: add new recipe | 1.7.1 | U | Default | 2025-02-19
* python3-cmake 4.0.0 4.2.0 Not updated
    - python3-cmake: upgrade 3.31.6 -> 4.0.0 | 4.0.0 | U | Default | 2025-03-31
    - python3-cmake: upgrade 3.31.4 -> 3.31.6 | 3.31.6 | U | Default | 2025-03-12
    - python3-cmake: upgrade 3.31.2 -> 3.31.4 | 3.31.4 | U | Default | 2025-01-14
    - python3-cmake: upgrade 3.31.1 -> 3.31.2 | 3.31.2 | U | Default | 2024-12-24
    - python3-cmake: update to version 3.31.1 | 3.31.1 | U | Default | 2024-12-12
    - python3-cmake: upgrade 3.28.1 -> 3.28.3 | 3.28.3 | U | Default | 2024-02-20
    - python3-cmake: update to version 3.28.1 | 3.28.1 | U | Default | 2023-12-22
    - python3-cmake: update to version 3.28.0 | 3.28.0 | U | Default | 2023-12-14
    - python3-cmake: upgrade 3.27.5 -> 3.27.7 | 3.27.7 | U | Default | 2023-10-23
    - python3-cmake: upgrade 3.27.4.1 -> 3.27.5 | 3.27.5 | U | Default | 2023-09-20
    - python3-cmake: upgrade 3.27.2 -> 3.27.4.1 | 3.27.4.1 | U | Default | 2023-09-07
